Player,Team,Span,Mat,Inns,NO,Bat_Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Bowl_Inns,Overs,Mdns,Bowl_Runs,Wkts,Bowl_Ave,Econ,Bowl_SSR,St,D/I
V Kohli,INDIA,2010-2019,75,70,20,2633,94*,52.66,1907,138.07,0,24,2,247,71,12,24.2,0,198,4,49.5,8.13,36.5,0,0.493
RG Sharma,INDIA,2007-2019,104,96,14,2633,118,32.1,1905,138.21,4,19,6,234,120,9,11.2,0,113,1,113,9.97,68,0,0.365
MJ Guptill,NEW ZEALAND,2009-2019,83,80,7,2436,105,33.36,1810,134.58,2,15,2,215,113,1,1,0,11,0,0,11,0,0,0.56
Shoaib Malik,PAKISTAN,2006-2019,111,104,30,2263,75,30.58,1824,124.06,0,7,1,186,61,46,90,0,644,28,23,7.15,19.2,0,0.45
BB McCullum,NEW ZEALAND,2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91,0,0,0,0,0,0,0,0,8,0.619
DA Warner,AUSTRALIA,2009-2019,76,76,8,2079,100*,30.57,1476,140.85,1,15,5,203,86,0,0,0,0,0,0,0,0,0,0.565
EJG Morgan,ENGLAND,2009-2019,86,84,17,2002,91,29.88,1475,135.72,0,11,3,151,96,0,0,0,0,0,0,0,0,0,0.43
Mohammad Shahzad,AFGHANISTAN,2010-2018,65,65,3,1936,118*,31.22,1436,134.81,1,12,3,218,72,19,48.1,0,411,13,31.61,8.53,22.2,28,0.83
Mohammad Shahzad,AFGHANISTAN,2010-2018,65,65,3,1936,118*,31.22,1436,134.81,1,12,3,218,72,19,48.1,0,411,13,31.61,8.53,22.2,0,0.05
Mohammad Shahzad,AFGHANISTAN,2010-2018,65,65,3,1936,118*,31.22,1436,134.81,1,12,3,218,72,0,0,0,0,0,0,0,0,28,0.83
Mohammad Shahzad,AFGHANISTAN,2010-2018,65,65,3,1936,118*,31.22,1436,134.81,1,12,3,218,72,0,0,0,0,0,0,0,0,0,0.05
Mohammad Shahzad,UAE,2015-2017,20,20,2,281,52,15.61,239,117.57,0,1,2,25,11,19,48.1,0,411,13,31.61,8.53,22.2,28,0.83
Mohammad Shahzad,UAE,2015-2017,20,20,2,281,52,15.61,239,117.57,0,1,2,25,11,19,48.1,0,411,13,31.61,8.53,22.2,0,0.05
Mohammad Shahzad,UAE,2015-2017,20,20,2,281,52,15.61,239,117.57,0,1,2,25,11,0,0,0,0,0,0,0,0,28,0.83
Mohammad Shahzad,UAE,2015-2017,20,20,2,281,52,15.61,239,117.57,0,1,2,25,11,0,0,0,0,0,0,0,0,0,0.05
JP Duminy,SOUTH AFRICA,2007-2019,81,75,25,1934,96*,38.68,1532,126.24,0,11,6,138,71,41,77.1,0,599,21,28.52,7.76,22,0,0.432
PR Stirling,IRELAND,2009-2019,72,71,6,1929,91,29.67,1401,137.68,0,16,8,233,59,33,78,1,600,16,37.5,7.69,29.2,0,0.309
Mohammad Hafeez,PAKISTAN,2006-2018,89,86,8,1908,86,24.46,1643,116.12,0,10,6,196,51,67,186.1,2,1226,54,22.7,6.58,20.6,0,0.28
TM Dilshan,SRI LANKA,2006-2016,80,79,12,1889,104*,28.19,1567,120.54,1,13,10,223,33,25,43,0,313,9,34.77,7.27,28.6,2,0.412
AJ Finch,AUSTRALIA,2011-2019,58,58,9,1878,172,38.32,1200,156.5,2,11,4,182,90,2,2,0,27,0,0,13.5,0,0,0.421
LRPL Taylor,NEW ZEALAND,2006-2019,95,87,19,1743,63,25.63,1430,121.88,0,5,5,110,65,0,0,0,0,0,0,0,0,0,0.463
