Player,St,D/I
MS Dhoni,34,0.938
AB de Villiers,7,0.923
D Ramdin,20,0.887
Kamran Akmal,32,1.034
Mushfiqur Rahim,28,0.719
Mohammad Shahzad,28,0.83
DA Miller,1,0.722
Umar Akmal,2,0.619
Shoaib Malik,0,0.45
Q de Kock,10,1.21
MJ Guptill,0,0.56
GC Wilson,7,0.605
KC Sangakkara,20,0.803
Sarfaraz Ahmed,10,0.775
BB McCullum,8,0.619
LRPL Taylor,0,0.463
DA Warner,0,0.565
SK Raina,0,0.538
Mohammad Nabi,0,0.546
RG Sharma,0,0.365
LD Chandimal,5,0.685
V Kohli,0,0.493
EJG Morgan,0,0.43
GH Dockrell,0,0.514
DJ Bravo,0,0.53
JP Duminy,0,0.432
KJ O'Brien,0,0.395
KA Pollard,0,0.5
MH Cross,11,0.804
TM Dilshan,2,0.412
AD Hales,0,0.542
BN Cooper,0,0.62
Mahmudullah,0,0.382
DJG Sammy,0,0.455
JM Bairstow,0,0.882
GJ Maxwell,0,0.5
NLTC Perera,0,0.379
L Ronchi,6,0.909
Shahid Afridi,0,0.303
TG Southee,0,0.446
PW Borren,0,0.682
SA Edwards,4,1
PM Seelaar,0,0.417
W Barresi,1,0.675
JC Buttler,4,0.415
CS MacLeod,0,0.551
Najibullah Zadran,0,0.473
NJ O'Brien,10,0.964
KS Williamson,0,0.482
NL McCullum,0,0.412
H Masakadza,0,0.378
Mohammad Hafeez,0,0.28
Sabbir Rahman,0,0.581
AJ Finch,0,0.421
DJ Hussey,0,0.615
BJ Haddin,6,0.676
CJ Jordan,0,0.534
AD Mathews,0,0.319
HH Pandya,0,0.575
Soumya Sarkar,0,0.511
SR Thompson,0,0.589
CL White,0,0.489
AT Carey,9,0.916
ADS Fletcher,1,0.523
WTS Porterfield,0,0.372
PR Stirling,0,0.309
SCJ Broad,0,0.375
F du Plessis,0,0.477
SPD Smith,0,0.583
Asghar Afghan,0,0.303
MEK Hussey,0,0.526
RA Jadeja,0,0.434
C Kieswetter,3,0.8
SL Malinga,0,0.253
CO Obuya,0,0.571
L Siaka,0,0.769
LMP Simmons,0,0.408
SR Watson,0,0.344
HM Amla,0,0.431
CJ Anderson,0,0.612
MV Boucher,1,0.76
CR Brathwaite,0,0.463
E Chigumbura,0,0.351
KJ Coetzer,0,0.339
KD Karthik,5,0.612
R Mutumbami,4,0.863
RR Patel,0,0.633
Shakib Al Hasan,0,0.253
BRM Taylor,2,0.5
RE van der Merwe,0,0.452
C de Grandhomme,0,0.545
S Dhawan,0,0.31
Gulbadin Naib,0,0.4
MA Leask,0,0.62
C Munro,0,0.305
JE Root,0,0.562
Samiullah Shinwari,0,0.29
GC Smith,0,0.545
Tamim Iqbal,0,0.246
Umar Gul,0,0.3
J Botha,0,0.425
AC Gilchrist,0,1.307
DPMD Jayawardene,0,0.309
CK Kapugedera,0,0.395
KMDN Kulasekara,0,0.293
JA Morkel,0,0.34
MDKJ Perera,4,0.404
Sikandar Raza,0,0.531
BDH Stevens,0,1
Sultan Ahmed,3,1.062
Babar Hayat,0,0.666
SW Billings,1,0.615
K Doriga,1,0.941
Hamza Tariq,4,1.066
JW Jenner,0,0.941
P Khadka,0,0.533
Nawroz Mangal,0,0.5
AM Rahane,0,0.8
WB Rankin,0,0.34
Rashid Khan,0,0.355
Shafiqullah,2,0.347
Ahmed Shehzad,0,0.254
Babar Azam,0,0.416
B Bhandari,5,0.555
PD Collingwood,0,0.416
CH Gayle,0,0.258
Ghulam Shabber,1,0.882
ZE Green,5,0.937
Nasir Hossain,0,0.5
SW Poynter,2,0.652
MS Wade,2,0.576
CAK Walton,2,0.789
SC Williams,0,0.394
JJ Atkinson,0,1.076
A Balbirnie,0,0.4
F Behardien,0,0.368
Fakhar Zaman,0,0.411
Imad Wasim,0,0.341
IA Karim,3,0.875
G Malla,0,0.583
Misbah-ul-Haq,0,0.358
MP O'Dowd,0,0.4
KP Pietersen,0,0.388
MJ Santner,0,0.368
A Vala,0,0.538
J Vira,4,1
LJ Wright,0,0.28
AC Agar,0,0.619
Ahmed Raza,0,0.361
Ahsan Malik,0,0.433
TC Bruce,0,0.928
MJ Clarke,0,0.382
NM Coulter-Nile,0,0.481
JEC Franklin,0,0.342
Liton Das,0,0.52
JF Mooney,0,0.481
MA Ouma,5,0.59
TD Paine,2,1.083
SP Patil,4,0.722
KL Rahul,0,0.382
Aamir Kaleem,0,0.5
TA Boult,0,0.444
J Charles,2,0.352
JH Davey,0,0.6
CR Ervine,0,0.545
HG Munsey,0,0.333
Nadeem Ahmed,0,0.5
JDP Oram,0,0.333
Saeed Ajmal,0,0.187
MN Samuels,0,0.179
TL Seifert,4,0.631
V Sibanda,0,0.461
Tamoor Sajjad,0,1
HA Varaiya,0,0.48
DJ Willey,0,0.428
Younis Khan,0,0.48
Yuvraj Singh,0,0.21
A Bagai,6,1.222
S Chandramohan,0,0.916
TH David,0,0.916
N Davin,0,0.687
JSE Dunford,5,0.647
MG Erasmus,0,0.687
JP Faulkner,0,0.458
G Gambhir,0,0.305
Imran Nazir,0,0.44
Jatinder Singh,0,0.44
Khawar Ali,0,0.392
Mohammed Rizlan,3,0.733
PL Mommsen,0,0.5
GD Phillips,2,1.1
Rizwan Cheema,0,0.458
Rohan Mustafa,0,0.289
AD Russell,0,0.234
Shadab Khan,0,0.289
Shaiman Anwar,0,0.343
DW Steyn,0,0.25
T Taibu,5,0.647
PA van Meekeren,0,0.282
D Weston,2,1.833
Abdur Razzak,0,0.303
GJ Bailey,0,0.333
SJ Benn,0,0.416
TT Bresnan,0,0.294
RP Burl,0,0.625
SS Cottrell,0,0.454
N Dickwella,0,0.434
R Escobar,3,2
FJ Klaassen,0,0.5
Mashrafe Mortaza,0,0.188
Nizakat Khan,0,0.294
JL Ontong,0,0.714
RJ Peterson,0,0.476
AU Rashid,0,0.25
SM Sharif,0,0.243
JJ Smit,0,0.833
LJ Tucker,0,0.714
Usman Ghani,0,0.526
Asif Ali,0,0.36
Mudassar Bukhari,0,0.25
CJ Chibhabha,0,0.272
MD Gunathilaka,0,0.428
DT Johnston,0,0.321
Karan KC,0,0.36
E Lewis,0,0.31
PD McGlashan,0,0.818
Manpreet Singh,3,1.285
Mohamed Azzam,1,1.285
J Mubarak,0,0.562
Mustafizur Rahman,0,0.243
SO Ngoche,0,0.321
RR Pant,3,0.346
YK Pathan,0,0.409
R Powell,0,0.391
MJ Prior,3,0.9
DMW Rawlins,0,0.818
JA Richardson,0,1
RR Rossouw,0,0.6
CJO Smith,4,1.285
IS Sodhi,0,0.23
MC Sorensen,0,0.375
BA Stokes,0,0.409
Sultan Ahmed,0,0.529
Suraj Kumar,2,0.692
JE Taylor,0,0.3
T van der Gugten,0,0.236
DL Vettori,0,0.264
CD Wallace,2,0.5
MN Waller,0,0.281
D Wiese,0,0.45
Zaheer Ibrahim,0,0.692
Aizaz Khan,0,0.266
R Ashwin,0,0.173
S Bau,0,0.347
DG Blampied,0,0.47
AC Botha,0,0.615
JW Dernbach,0,0.242
JN Frylinck,0,0.571
HH Gibbs,0,0.347
RR Hendricks,0,0.363
H Klaasen,0,0.888
MJ Lumb,0,0.307
BR McDermott,0,0.727
Manpreet Singh,4,0.666
KD Mills,0,0.19
DJ Mitchell,0,0.888
Mohammad Nadeem,0,0.363
M Mosehle,2,1.142
Nouman Sarwar,0,0.571
RT Ponting,0,0.47
Rameez Shahzad,0,0.363
Ravinderpal Singh,0,0.666
KW Richardson,0,0.533
DJM Short,0,0.421
DR Smith,0,0.242
Sompal Kami,0,0.285
MA Starc,0,0.285
SB Styris,0,0.258
RML Taylor,0,0.888
HT Tector,0,0.571
HDRL Thirimanne,0,0.307
AJ Tye,0,0.32
N Vanua,0,0.32
MH Yardy,0,0.571
KJ Abbott,0,0.333
RG Aga,0,0.35
MM Ali,0,0.28
Aqib Ilyas,0,0.318
S Badree,0,0.134
HS Baidwan,0,0.411
RD Berrington,0,0.118
Bilal Khan,0,0.225
RS Bopara,0,0.189
DAJ Bracewell,0,0.411
YS Chahal,0,0.194
S Chanderpaul,0,0.318
MS Chapman,0,0.291
PJ Cummins,0,0.28
AR Cusack,0,0.212
Dawlat Zadran,0,0.205
BR Dunk,2,1.4
AC Evans,0,0.28
Faheem Ashraf,0,0.259
Fawad Alam,0,0.291
Harbhajan Singh,0,0.259
Hasan Ali,0,0.233
